# Asendra sky points, format 1
# ra_hours|dec_degrees|distance_light_years|color|brightness[|id|name]
# Gaia Catalogue of Nearby Stars, sector (1, 1, 0), generated 2026-09-08.
# 2056 points.
0.574469|44.025921|144.8787|#FFAA70|0.12|gaia-388477283663965440|2MASS J00342803+4401359
0.048433|46.234035|148.2381|#FFEAD0|0.12|gaia-387098667880073856|LP 191-37
0.394323|43.647944|148.8252|#FFF0DD|0.6|gaia-382627439423335808|HD 1904
1.340577|42.036767|149.5427|#FFB780|0.12|gaia-372514578146556416|LSPM J0120+4202
1.257066|44.180808|149.9015|#FFBA84|0.139|gaia-373707582624517248|LSPM J0115+4410
1.06793|42.722502|152.5107|#FFBE88|0.187|gaia-376148257917859328|G 172-37
1.457447|43.521074|153.1304|#FFA96F|0.12|gaia-396553574526563968|2MASS J01272683+4331173
0.774341|43.506943|153.3261|#FFEDD6|0.563|gaia-387873243757348992|BD+42 168
0.522221|46.860125|153.3913|#FFB780|0.12|gaia-389243888083557376|LP 150-16
0.470318|46.221566|153.7175|#FFB47D|0.12|gaia-389304361222813696|LSPM J0028+4613
0.257298|41.099013|153.9784|#FFAD74|0.12|gaia-383466194996163712|LP 192-47
1.073536|44.22006|153.9784|#FFBC86|0.147|gaia-376520305166050432|UCAC4 672-005100
1.249443|43.315988|154.696|#FFA76D|0.12|gaia-373562923829421440|2MASS J01145788+4318561
0.352684|44.949022|155.0221|#FFBD88|0.302|gaia-385796502515670016|LSPM J0021+4456
0.094629|48.418277|155.3157|#F6F2FA|0.12|gaia-393365609282766848|LSPM J0005+4825
0.575095|47.915811|155.5114|#FCF3EE|0.703|gaia-390900439790625664|HD 3079
0.590352|44.122082|155.8375|#FFBC86|0.235|gaia-387731166240901632|G 172-10
0.19407|43.485097|156.0332|#FFC08B|0.246|gaia-385433736694555776|Gaia DR3 385433736694555776
1.715744|40.764343|156.0984|#FFC590|0.278|gaia-347237080703084416|G 133-34
0.032059|45.342468|156.4898|#FBF3F0|0.12|gaia-386584233877132416|LP 192-24
1.446471|41.829287|156.8486|#FFC28D|0.226|gaia-372333674124032256|G 133-12
0.613611|43.483361|157.1421|#FFB780|0.12|gaia-387677251514856064|Gaia DR3 387677251514856064
0.113528|45.196976|157.2074|#FFB37B|0.12|gaia-386424808988152320|LP 192-36
1.490737|42.281637|157.2074|#F9F2F5|0.718|gaia-396332095949773824|HD 8995
0.575038|47.916575|157.24|#D8D4C8|0.259|gaia-390900439791497984|HD 3079B
0.318803|41.022947|157.3705|#FFA86E|0.12|gaia-383416510813428480|PSO J004.7818+41.0231
0.74198|44.576028|157.4357|#FFC793|0.336|gaia-387989654552003200|PM J00445+4434
0.641498|39.203989|158.3489|#FFC08A|0.212|gaia-368617286179206528|LSPM J0038+3912
0.374191|46.231188|158.3815|#FFC894|0.325|gaia-391975659082049792|G 171-53
0.952057|47.005487|158.512|#FFBA84|0.14|gaia-378010040343176960|Gaia DR3 378010040343176960
0.419222|48.047481|158.7077|#FEF4EA|0.694|gaia-392562179817077120|HD 2057
0.76329|46.139889|159.5231|#FFAD74|0.12|gaia-389678298254702976|LP 150-40
1.273712|42.273244|159.5231|#FFBD86|0.151|gaia-373306604475963008|LSPM J0116+4216
0.81543|47.543338|159.6862|#FFB27A|0.12|gaia-390188918328186880|Gaia DR3 390188918328186880
0.675211|46.435584|160.1754|#FFB982|0.12|gaia-389875450136699008|Gaia DR3 389875450136699008
0.271449|41.382686|160.3711|#FFC38E|0.309|gaia-383495430838257920|LP 192-49
0.820683|42.907412|160.8929|#FFDDB4|0.502|gaia-375415948814263808|StKM 1-83
0.143502|46.448223|161.3169|#FFA86E|0.12|gaia-386961989137965952|2MASS J00083650+4626540
1.27917|44.670684|161.3169|#FFD0A0|0.392|gaia-397737271810238848|LP 194-45
0.845301|44.308216|161.3496|#FFB983|0.12|gaia-375970137034316416|Gaia DR3 375970137034316416
0.19115|50.819484|161.5779|#FFB982|0.12|gaia-395351022345818752|Gaia DR3 395351022345818752
0.920787|45.183509|161.6105|#FFB57E|0.12|gaia-377417472293937280|LSPM J0055+4511
0.700392|40.687987|161.7409|#F9F2F5|0.735|gaia-369146735374791808|HD 3914
2.124616|42.792521|161.8062|#FFD3A4|0.42|gaia-345610142793876864|LSPM J0207+4247
0.842235|48.887407|161.8714|#FFF0DD|0.603|gaia-414386386115608704|BD+48 250
1.311449|45.476306|162.2954|#FFBC86|0.187|gaia-397900721085561984|LP 194-47
0.512649|47.529645|162.328|#FFF4E9|0.623|gaia-390973763472251392|HD 2675B
2.225382|40.537539|162.4585|#FFAF76|0.12|gaia-333054411497081984|Gaia DR3 333054411497081984
0.51165|47.502183|162.6216|#FFD9AE|0.458|gaia-390973248078177792|TYC 3252-1502-1
1.542434|38.567905|162.6542|#FFB57E|0.12|gaia-322886162321858560|LP 243-31
0.394917|50.857064|162.8173|#FFB57E|0.12|gaia-394745294513036800|LP 149-62
1.697525|45.220607|162.8173|#FFEFDB|0.621|gaia-350580833003011840|BD+44 351
0.023236|39.610164|162.8825|#FFE1BD|0.543|gaia-2881804450094712320|HD 224873B
0.414185|39.997635|163.0456|#FFB27A|0.12|gaia-380163124627108992|LSPM J0024+3959
1.138758|41.075532|163.1108|#FFB780|0.12|gaia-371465850212128256|Gaia DR3 371465850212128256
0.271418|41.382579|163.2087|#D8D4C8|0.12|gaia-383495435133634304|LP 192-49 B
0.352773|37.957415|163.3717|#FFAF76|0.12|gaia-378821475628168576|2MASS J00210991+3757272
0.543687|39.183496|163.437|#FFB780|0.152|gaia-380626809295739648|UCAC4 646-002067
0.352041|37.968433|163.4696|#F9F2F5|0.882|gaia-378821548641870336|* rho And
0.431839|43.12276|163.5022|#FFAA71|0.12|gaia-382597065412801408|2MASS J00255372+4307198
0.347195|38.767798|163.5674|#FFB077|0.12|gaia-379631953135747968|2MASS J00204996+3846052
0.287663|42.135115|163.7305|#FFB37B|0.12|gaia-383614697785574528|LP 192-52
0.810171|39.786749|163.7631|#FFC48F|0.277|gaia-368883544075095424|LP 193-575
0.363085|43.072303|163.8936|#FFB57E|0.12|gaia-385213765650245760|2MASS J00214696+4304214
0.51267|47.529616|163.9262|#FFF3E6|0.635|gaia-390973759175121664|HD 2675A
1.61391|39.553274|163.9262|#FFBE89|0.172|gaia-323055521472303360|UCAC4 648-006141
0.102728|38.555368|164.024|#FFC08B|0.219|gaia-2880844713883706624|2MASS J00060959+3833191
2.016404|41.342698|164.5459|#FFAB71|0.12|gaia-345800293883977984|2MASS J02005879+4120342
0.234924|49.501235|164.6437|#FFE0BA|0.492|gaia-392935395294946816|TYC 3255-1050-1
0.949865|43.79264|164.6764|#F4F1FF|0.12|gaia-377196947196848128|LSPM J0056+4347
1.869116|41.721997|164.872|#FFD8AD|0.445|gaia-347527042535335296|TYC 2824-909-1
0.100298|38.185447|165.0025|#FFCA97|0.342|gaia-2880724764037107584|LP 240-21
